"timestamp.ms","jerk.cost.m2s5"
735024.938,41170.904
735806.188,42398.303
736597.203,43194.808
737397.984,43704.661
738189,42925.72
738960.484,38284.171
739751.5,48517.509
740542.516,43960.858
741343.297,46813.148
742124.547,41555.981
742925.328,40096.29
743716.344,44825.976
744487.828,40936.937
745298.375,46247.641
746069.859,39461.243
746851.109,42924.679
747642.125,49168.381
748433.141,49389.587
749214.391,47315.414
750024.938,46954.646
750796.422,39100.436
751587.438,46691.78
752388.219,45372.875
753159.703,34810.613
753950.719,46216.618
754761.266,43491.085
755542.516,36497.074
756314,35293.744
757124.547,48577.089
757886.266,39603.82
758687.047,47817.87
759487.828,49506.1
760259.312,46867.469
761060.094,46865.111
761870.641,48904.653
762651.891,41528.607
763433.141,43816.34
764224.156,38646.735
765015.172,41067.039
765835.484,46115.78
766616.734,43829.163
767417.516,39130.023
768208.531,49832.299
768989.781,44524.108
769780.797,43167.492
770571.812,45066.28
771362.828,42678.925
772153.844,48354.824
772944.859,45779.328
773755.406,47742.733
774546.422,47541.579
775347.203,42415.087
776128.453,44148.291
776948.766,48266.496
777739.781,41253.175
778511.266,41588.563
779321.812,45421.389
780112.828,42880.579
780903.844,41365.544
781704.625,37163.646
782495.641,43914.004
783286.656,41172.687
784077.672,41821.089
784878.453,46486.698
785659.703,40739.103
786450.719,43320.492
787251.5,44893.321
788042.516,45559.713
788833.531,41312.017
789634.312,39254.58
790435.094,45072.327
791226.109,39282.356
792036.656,45310.783
792837.438,48392.56
793638.219,39459.517
794419.469,35682.038
795220.25,35761.407
796011.266,40782.537
796812.047,39103.566
797603.062,37271.217
798403.844,48613.049
799204.625,41232.333
800005.406,39769.257
800786.656,40579.732
801587.438,47633.526
802368.688,41799.27
803159.703,41375.355
803940.953,37715.16
804722.203,45836.774
805522.984,44116.817
806314,43301.35
807075.719,37856.912
807866.734,42644.248
808667.516,43578.8
809448.766,44569.73
810239.781,41027.914
811040.562,39022.325
811821.812,35891.236
812622.594,42081.124
813433.141,41814.089
814194.859,37412.44
814985.875,49519.4
815776.891,47836.977
816558.141,37591.464
817368.688,46375.057
818149.938,42393.225
818931.188,38122.083
819722.203,39746.108
820513.219,35886.056
821304.234,38548.604
822095.25,38660.932
822866.734,39478.864
823667.516,42777.103
824429.234,32474.617
825220.25,40728.114
826011.266,45216.153
826792.516,39636.818
827583.531,41191.005
828374.547,45426.959
829175.328,39434.495
829966.344,44409.068
830737.828,41650.951
831528.844,47168.968
832319.859,36720.812
833101.109,38845.246
833892.125,46997.884
834653.844,43290.801
835435.094,46061.408
836226.109,38845.83
836997.594,44362.917
837778.844,42905.616
838560.094,42173.246
839341.344,40410.245
840122.594,40583.428
840933.141,40196.324
841694.859,33410.468
842476.109,39839.655
843276.891,42089.538
844058.141,39636.629
844829.625,37245.898
845630.406,44934.774
846421.422,46565.275
847192.906,36224.454
847983.922,39958.412
848755.406,37884.32
849536.656,43162.34
850317.906,37257.693
851118.688,43440.201
851919.469,49437.245
852700.719,44507.73
853481.969,47959.454
854243.688,44742.742
855034.703,45394.062
855806.188,39797.86
856567.906,34450.31
857358.922,44133.291
858140.172,42953.504
858921.422,35854.922
859722.203,45564.41
860483.922,33925.391
861274.938,39238.073
862056.188,37390.854
862837.438,39762.657
863618.688,44363.043
864399.938,44397.993
